Oxylipin,Class,Parent FA,Enzyme ,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
F2-isoPs-To-F,Prostaglandins,AA,COX,0.727445159,1.384628911,0.824768733,1.030515272,1.167648272,0.394086263,1.369761098,0.758990976,1.041166525,1.093724522
F2-isoPs-To-PP,Prostaglandins,AA,COX,0.428770187,0.74423219,1.121577958,1.204212835,1.127579222,0.926429043,1.04026362,1.077129124,1.040209805,0.392810748
PGF2a - Full-To-F,Prostaglandins,AA,COX,0.727445159,1.481674942,0.824768733,1.042874823,1.167648272,0.394086263,1.369761098,0.807908746,1.041166525,1.197462907
PGF2a - Full-To-PP,Prostaglandins,AA,COX,0.456129998,0.74423219,1.144729313,1.303885819,1.127579222,0.982026257,1.04026362,1.147037438,1.092878648,0.409393523
PGF2a - Select-To-PP,Prostaglandins,AA,COX,0.027359811,,0.023151355,0.099672984,,0.055597214,,0.069908314,0.052668843,0.016582775
PGF2a-NE-F,Prostaglandins,AA,COX,0.152,0.0196,0.984,0.42,,0.358,,0.399,0.198,0.376
PGF2a-NE-PP,Prostaglandins,AA,COX,0.293,0.235,1.81,0.264,,0.851,0.084,0.282,0.508,0.0589
Sum-TriHOME-NE-F,Triols,LA,LOX,0.675,2.91,6.03,0.762,2.26,0.73,0.923,1.41,1.4,1.33
Sum-TriHOME-NE-PP,Triols,LA,LOX,1.13,1.55,2.76,1.02,0.704,0.931,0.922,1.97,1.32,1.21
Sum-TriHOME-To-F,Triols,LA,LOX,13.1,49.6,11.4,8.28,12.6,10.1,11.2,8.32,8.68,13.7
Sum-TriHOME-To-PP,Triols,LA,LOX,11,10.1,14.8,7.48,8.06,8.67,8.71,10.1,18.8,12.7
