Time,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
Phenotype,Anti,Anti,Anti,Anti,Anti,Anti,Anti,Anti,Anti,Anti,Pro,Pro,Pro,Pro,Pro,Pro,Pro,Pro,Pro,Pro
Sample ID,0,1,2,3,4,0,1,2,3,4,5,6,7,8,9,5,6,7,8,9
Label,D229,D360,D384,D391,D75,D229.1,D360.1,D384.1,D391.1,D75.1,D274,D34,D356,D368,D370,D274.1,D34.1,D356.1,D368.1,D370.1
C202n6-NEFA,-1.210403215,-1.934196065,-0.882010779,-1.597457449,0.698223669,-1.319500913,-1.292809748,-1.101881549,-0.628352722,-0.793776939,-0.714789604,-0.884113421,-1.336492955,-1.214238893,-1.588972101,-0.019534306,-1.362955362,-0.007763816,-1.665864241,-0.861344677
8_9-DiHETrE-To,0.43295941,2.64846544,1.69599381,0.70487196,1.75702325,0.77399633,0.08406426,0.87184365,0.422233,0.97085365,0.12432814,1.83592407,1.04963077,0.91838623,1.76977174,0.54596837,0.37851162,0.55581616,0.80735492,0.81557543
C225n3/C205n3-NEFA,5.13071453,-3.02310812,-0.21849415,0.35098038,0.19362334,-0.80751471,-0.61662288,0.53723947,1.38058072,0.15325143,3.83960575,0.78012365,0.1805726,1.66976972,0.91057278,2.03524397,1.4221666,3.1378488,0.06604593,1.29932536
17-HDoHE-To,4.070389,6.314697,3.711495,4.529821,5.074677,3.608809,3.130931,2.032101,1.077243,3.972693,3.584963,5.357552,3.378512,4.169925,4.277985,3.051372,3.807355,2.100978,5.84549,3.054848
9-KODE-NE,2.503349,3.134221,3.472488,1.169925,3,3.321928,3.817623,3.847997,3.510962,2.922198,1.042644,2.659925,4.053111,1.761285,1.15056,3.485427,4.350497,3.722466,2.65306,3.548437
C204n6-NEFA,0.51920788,-0.43389681,2.63748278,-0.6347685,3.76544253,-0.39224157,-0.40702401,-0.4236456,0.37712944,-0.13890993,0.06954374,2.76017312,-1.43988522,0.0541506,1.51807826,1.51512359,0.79027148,0.90788727,-2.51305516,0.38158747
Per-C181n7,0.6897464,0.8984019,0.8615584,0.9471051,0.5926364,0.7355222,0.9305481,0.9221978,1.0292762,0.8261925,0.8591745,0.4404207,0.9022666,0.929791,0.7092906,0.8007446,0.6843699,0.9014945,0.8479969,0.7536045
Per-C224n6,-2.522841,-2.380822,-2.286304,-2.426625,-3.120294,-2.590745,-2.365871,-3.058894,-1.795859,-2.756331,-2.736966,-2.932361,-1.888969,-2.899695,-2.190997,-2.426625,-3.035047,-2.58208,-3.011588,-2.139236
8_9-DiHETrE-NE,-4.4111954,-0.4131152,-2.9657843,-2.8262329,-4.9257686,-3.9953907,-7.2809651,-2.7858752,-4.148161,-1.8677522,-3.8406291,-2.7273795,-3.7878665,-2.4266255,-3.6170561,-4.2820878,-2.6259343,-2.8365013,-4.1635911,-3.1328943
Per-C201n9,-2.85726,-3.107803,-2.307573,-2.300448,-2.795859,-2.293359,-1.894322,-1.713119,-2.12658,-2.45799,-2.698998,-2.490051,-2.514573,-2.836501,-2.899695,-2.365871,-2.272297,-2.064917,-2.351074,-2.45799
C226n3-NEFA,0.53727363,-1.06410338,2.1514273,-0.04145089,2.24312601,-0.31354348,0.11119476,-0.08331085,0.47130155,-0.23472166,1.41750795,0.4048839,0.91798032,1.24297225,1.27198902,1.71289133,-0.50661559,0.35800218,-0.16984545,0.44453207
Per-C183n3,0.06901468,0.75017771,0.72944401,0.48851501,-0.68501351,0.08949815,0.30451104,0.27857955,0.28214323,-0.31832586,0.65260122,0.18903382,0.37851162,0.34141652,0.02431968,0.17120683,0.24610401,0.3021728,0.27500705,0.16092019
C203n6-NEFA,-3.05261792,-2.14595079,0.19111753,-2.72542154,1.91680011,-2.84621572,-3.9930729,-2.15101727,-1.39247562,-2.2004511,-1.26987987,0.37401859,-1.40956695,-0.97602533,-2.13659521,0.01270324,-0.58935472,-0.70783565,-2.56083139,-7.08914537
Per-C190,-5.878321,-6.058894,-5.717857,-5.965784,-5.965784,-5.573467,-4.92139,-5.442222,-5.442222,-5.965784,-5.717857,-6.965784,-5.265345,-5.717857,-6.965784,-5.265345,-5.878321,-5.573467,-6.380822,-5.573467
5-HETE-To,5.300124,7.392317,4.452859,4.584963,5.914086,4.626439,4.426265,4.649615,2.901108,4.661065,3.89724,6.36807,4.364572,4.061776,6.224966,3.972693,4.185867,4.412782,5.436295,5.498251
Total NEFA-NEFA,6.762531,5.827168,8.020465,6.023436,8.71942,6.578372,6.279148,6.588879,7.06948,6.533051,6.973698,7.667976,6.270841,7.321949,6.306005,8.063474,7.107446,7.83057,6.34266,6.431874
Sum-n-3 PUFA-NEFA,1.6521106,0.9802861,3.5879229,1.3280833,4.2825698,1.479205,1.5844338,1.5618421,2.2280087,1.8276607,2.6567078,2.543873,2.1080715,3.0727841,1.7150332,3.3044884,1.8158621,2.8521088,1.5248397,1.5075973
Per--C183n6-NEFA,-1.7273795,-0.3437325,-1.3147326,-1.1648844,-1.2481079,-2.6529013,-1.7612131,-1.5907449,-1.7710274,-1.1681228,-1.5521564,-1.2688168,-1.1360615,-0.9913697,-1.9159357,-3.2515388,-1.6126375,-2.9885044,-1.6989977,-1.8624965
Per-C200,-4.717857,-4.836501,-4.321928,-4.965784,-3.590745,-3.816037,-3.158429,-3.083141,-2.932361,-1.965784,-4.92139,-4.265345,-4.92139,-4.442222,-5.380822,-3.680382,-3.083141,-3.365871,-4.035047,-3.836501
