Metabolite,PP-F D229,PP-F D360,PP-F D384,PP-F D391,PP-F D75,PP-F D274,PP-F D34,PP-F D356,PP-F D368,PP-F D370,PP/F D229,PP/F D360,PP/F D384,PP/F D391,PP/F D75,PP/F D274,PP/F D34,PP/F D356,PP/F D368,PP/F D370
12(13)-EpODE-To,0.74,-14.98,11.68,-1.71,-7.15,0.54,-3.82,4.6,6.77,0.5,1.11858974359,0.3,2.40384615385,0.799765807963,0.285,1.08667736758,0.603734439834,2.09263657957,3.19805194805,1.04901960784
%C21:0,0.0072,0.0012,-0.1236,0.0825,0.0034,-0.0071,0.0083,0.002,0.003,0.004,2.44,1.4,0.0418604651163,21.625,1.68,0.408333333333,9.3,1.25,2.5,3.0
12(13)-Ep-9-KODE-NE,-2.14,-0.71,-2.25,0.55,-1.32,0.87,0.98,-3.1,0.4,1.79,0.359281437126,0.517006802721,0.237288135593,2.30952380952,0.45,5.14285714286,2.84905660377,0.249394673123,1.8,6.26470588235
5_6-DiHETrE-NE,-0.26,-3.76,-0.41,-0.27,-0.81,0.05,-0.37,-0.32,0.12,-0.12,0.458333333333,0.0505050505051,0.369230769231,0.25,0.242990654206,1.41666666667,0.212765957447,0.515151515152,1.66666666667,0.714285714286
11(12)-EpETrE-To,-2.5,-38.2,3.9,-10.22,-14.63,0.57,-11.94,-1.24,10.5,-9.5,0.850299401198,0.145413870246,1.38235294118,0.336363636364,0.293236714976,1.06168831169,0.28502994012,0.883018867925,3.28260869565,0.62
5-HETE-NE,-0.62,-17.21,-0.7,-1.19,-4.95,-1.79,-1.11,-0.3,0.49,-0.73,0.575342465753,0.0595628415301,0.602272727273,0.274390243902,0.165261382799,0.341911764706,0.424870466321,0.822485207101,1.92452830189,0.557575757576
%-C20:0-NEFA,0.017,-0.075,0.101,-0.058,0.109,-0.02,0.108,-0.177,0.116,-0.04,1.08133971292,0.769938650307,1.73722627737,0.788321167883,1.8320610687,0.871794871795,1.89256198347,0.445141065831,2.39759036145,0.832635983264
C20:5n3-NEFA,0.08,-0.06,-1.28,0.02,-1.17,0.12,-0.25,-0.15,-0.08,0.05,9.0,0.6,0.0857142857143,1.28571428571,0.14598540146,3.4,0.358974358974,0.210526315789,0.703703703704,1.83333333333
C18:0-NEFA,0.35,1.84,-10.57,3.01,-14.62,7.68,0.9,5.0,-0.04,0.43,1.06457564576,1.7829787234,0.386890951276,1.60320641283,0.284035259549,2.30612244898,1.09687836383,2.04384133612,0.991360691145,1.08865979381
9_10-EpO-NE,0.92,-1.5,9.62,-0.51,-1.11,0.0,0.13,-0.8,3.08,4.55,1.69172932331,0.7,7.08860759494,0.785714285714,0.424870466321,1.0,1.08666666667,0.739413680782,3.70175438596,4.47328244275
C18:0/C16:0-NEFA,0.11,0.1,0.04,-0.09,0.16,-0.01,0.18,0.08,0.1,0.01,1.5,1.35714285714,1.18181818182,0.8125,1.69565217391,0.965517241379,1.94736842105,1.25806451613,1.45454545455,1.04
C22:0,-1.43,-3.96,-1.66,-0.1,6.01,0.24,-3.49,0.27,1.45,0.38,0.597183098592,0.400907715582,0.689138576779,0.948186528497,2.42417061611,1.12060301508,0.433441558442,1.24545454545,2.22881355932,1.127090301
16(17)-EpDPE-To,-5.61,-20.2,-0.2,-5.22,-8.4,-1.85,-12.11,-3.8,13.52,-2.67,0.5512,0.136752136752,0.972144846797,0.488235294118,0.412587412587,0.724702380952,0.208496732026,0.53431372549,3.29931972789,0.642570281124
15(16)-EpODE-To,37.3,-52.4,159.3,12.4,-36.4,25.4,15.7,48.9,62.27,43.9,2.55416666667,0.476,8.01762114537,1.36257309942,0.319626168224,2.14932126697,1.34888888889,3.96363636364,7.6741693462,1.90143737166
12_13-DiHOME-To,4.28,2.6,18.0,5.79,-5.44,1.62,11.59,3.82,6.36,5.99,6.78378378378,1.37037037037,13.0,6.96907216495,0.405464480874,3.34782608696,6.01731601732,4.9381443299,8.31034482759,3.13167259786
14(15)-EpETrE-To,-13.2,-60.1,6.1,-15.37,-29.47,3.9,-27.71,-0.3,20.75,-21.0,0.598784194529,0.164116828929,1.33152173913,0.3375,0.242416452442,1.27272727273,0.203735632184,0.982352941176,3.8231292517,0.559748427673
Sum-TriHOME-To,-2.1,-39.5,3.4,-0.8,-4.54,-1.43,-2.49,1.78,10.12,-1.0,0.839694656489,0.203629032258,1.29824561404,0.903381642512,0.639682539683,0.858415841584,0.777678571429,1.21394230769,2.16589861751,0.92700729927
13-HODE-NE,4.02,-2.7,13.5,19.2,-3.57,3.8,8.07,6.01,14.24,-1.1,1.78362573099,0.846590909091,1.675,5.68292682927,0.541131105398,3.30303030303,3.49845201238,1.91198786039,4.50738916256,0.952991452991
13-HODE-To,-525.0,-5718.0,735.0,-561.0,-1003.0,-67.0,-884.0,177.0,1417.0,-200.0,0.635416666667,0.120307692308,1.82122905028,0.410714285714,0.331333333333,0.924036281179,0.364028776978,1.29549248748,3.07467057101,0.884393063584
9-HODE-To,-89.0,-1632.0,464.0,-120.0,-338.0,-7.0,-160.0,108.0,507.0,43.0,0.825147347741,0.2,2.58361774744,0.630769230769,0.365853658537,0.978978978979,0.649122807018,1.49769585253,2.92045454545,1.07465277778
%-_ SFA-NEFA,-3.231,-0.25,-1.682,-3.899,-1.755,1.136,0.285,-17.113,10.037,-2.905,0.904802592811,0.990909090909,0.960599672054,0.872331368697,0.942459016393,1.04301400984,1.00856112947,0.536860622463,1.46104731282,0.928938356164
PGF2a-NE,0.14,0.22,0.83,-0.16,,0.49,,-0.12,0.31,-0.32,1.93333333333,12.0,1.84693877551,0.619047619048,,2.36111111111,,0.7,2.55,0.157894736842
%C18:4n3,0.017,0.0043,-0.0588,-0.046,0.0081,-0.0489,0.0102,-0.0485,-0.0219,0.0812,1.68,1.26875,0.360869565217,0.520833333333,1.54,0.547222222222,3.04,0.276119402985,0.336363636364,11.15
C20:4n6/C20:3n6,0.72,0.79,0.99,1.13,-1.22,0.62,0.1,0.98,0.19,0.52,1.06811731315,1.19082125604,1.20668058455,1.23492723493,0.85764294049,1.17971014493,1.01930501931,1.17375886525,1.036121673,1.09811320755
12(13)-Ep-9-KODE-To,-13.5,-123.8,10.4,-26.3,-30.0,1.8,-39.3,5.7,33.0,-30.1,0.655612244898,0.163513513514,1.36363636364,0.318652849741,0.354838709677,1.08071748879,0.270871985158,1.31147540984,2.60194174757,0.540458015267
13-KODE-To,-41.8,-313.4,32.8,-65.1,-76.1,-9.6,-93.4,8.2,100.3,-83.1,0.579053373615,0.162032085561,1.43617021277,0.332307692308,0.349572649573,0.862266857963,0.308148148148,1.16599190283,3.05954825462,0.530508474576
_ SFA-NEFA,-7.5,5.55,-71.37,15.92,-101.93,40.5,-21.39,16.63,-9.02,0.44,0.796472184532,1.35554131967,0.35609888127,1.80161127895,0.207078957604,2.22024706237,0.684000590929,1.58289519804,0.741027849555,1.01360123648
13-HOTE-To,-3.66,-73.4,10.9,-6.4,-10.47,-2.66,-12.0,4.61,15.07,0.5,0.697520661157,0.137485311398,2.00925925926,0.471074380165,0.387719298246,0.76036036036,0.469026548673,1.79620034542,3.00132802125,1.02762430939
C16:0-NEFA,-7.52,2.69,-54.01,10.26,-75.38,27.46,-21.43,9.87,-6.84,0.56,0.696651875756,1.32409638554,0.319344675488,1.99515033948,0.163466873821,2.3408203125,0.565666801784,1.64132553606,0.674285714286,1.02854230377
15-HETE-To,-28.5,-171.0,9.5,-20.6,-61.6,-2.3,-59.2,-0.6,42.7,-22.6,0.510309278351,0.149253731343,1.33568904594,0.328990228013,0.294387170676,0.902127659574,0.224115334207,0.976470588235,3.25925925926,0.741122565865
9-HOTE-To,1.7,-67.2,23.2,-4.13,-7.55,-0.6,-6.4,4.96,16.61,3.7,1.15178571429,0.205673758865,3.25242718447,0.63125,0.448905109489,0.943925233645,0.68932038835,1.75840978593,3.27846364883,1.23125
