Oxylipin,Name,Parent FA,Pathway,Correlation,P-Value,Anti-Athero Mean,Pro-Athero Mean,Anti- St Dev,Pro -St Dev
C14:0-F,,,,0.6272608235652661,0.06203232201180609,85.8301328342558,176.77389293512516,35.68695138649558,86.75516780624285
C22:5n3 (DPA)-F,,,,0.634583408764153,0.03408321589591634,47.13288465888979,86.467233461222,13.116607820357425,31.87536768189347
15(16)-EpODE-To-F,,,,0.636374058743283,0.024198079473302186,19.06,31.98,6.308169306542113,8.293189977324772
Σ (n-3) PUFA-F,,,,0.6365234744117912,0.0759363405251994,374.4162204370567,705.7023292430689,67.81354753308084,312.70976331019165
Σ MUFA-F,,,,0.6450824901609974,0.022455517190989704,2009.2602886702723,3974.506461091286,391.645765818565,1261.9350339613277
C15:0-F,,,,0.6455131044486122,0.005277797297808676,20.37617210533643,30.550548833434572,3.630801951360946,4.771295698536275
C18:1n9-F,,,,0.6462136503535014,0.02291348296467862,1688.0875583489433,3312.1107451510243,330.4021823079547,1049.5076893375572
C17:0-F,,,,0.6554753330144626,0.012613905662821506,26.1579043667413,34.09912418512006,2.81376541077046,4.782966780181028
Σ SFA-F,,,,0.6591233176436092,0.041413326115946315,3103.129320517796,5243.710946918376,470.941634737784,1646.4354209810367
C18:3n3-F,,,,0.6624403672915309,0.013827563810524754,62.94930537160788,136.6511726393331,17.716959531617338,49.42314250012946
C18:1n7-F,,,,0.6735742338209327,0.01755222677237346,120.15615005815334,204.56886576372273,13.59090833109045,50.216604715049165
C16:0-F,,,,0.6768425855234153,0.033758685447559014,2327.3868595402973,4061.114620619338,395.18660074464736,1254.821250061487
C16:1n7t-F,,,,0.6839212008304311,0.006488816381239188,28.997556978122486,69.21320375127888,5.569353770959128,18.540837460157615
12-HpETE %-To-F,,,,0.693365301255446,0.14019623255691122,23.59,45.46,14.310852525269066,26.215606039151556
C20:2n6-F,,,,0.6988331236966837,0.018733636033019283,16.773170377857582,29.352967459661908,1.5039940265622136,7.519941896290769
15-HpETE %-To-F,,,,0.7596350334624387,0.0851917442872483,105.80000000000001,218.4,50.555266787942074,117.8422674595156
13-HpODE %-To-F,,,,0.8069950962952652,0.04137132544493479,57.720000000000006,151.89999999999998,27.13497742766705,82.40479354989004
9-HpODE %-To-F,,,,0.8575124856048364,0.02323540446513212,201.79999999999998,527.8000000000001,84.69474599997334,246.2837794090387
C18:3n6-F,,,,0.4150678945007759,0.037563070977961216,42.8454902427581,94.00717623304845,16.9622806938693,42.712206416943715
C16:1n7/C16:0-F,,,,0.4155609534449908,0.04626778086503781,0.06733121776592933,0.08907480435121112,0.012558041526000976,0.01637922228199141
C22:0-F,,,,0.4949366428375768,0.03350066881418013,2.255889466639309,3.4223501517706354,0.751443468296287,0.6863991227898487
